creator_name,creator_handle,platform,post_url,posted_date,views,likes,comments,shares
Sarah Johnson,sarahjohnson,tiktok,https://www.tiktok.com/@sarahjohnson/video/7234567890123,2024-02-20,125000,8500,450,320
Mike Chen,mikechen,instagram,https://www.instagram.com/p/C3Abc123DEF/,2024-02-19,45000,3200,180,0
Emily Rodriguez,emilyrodriguez,youtube,https://www.youtube.com/watch?v=dQw4w9WgXcQ,2024-02-21,450000,32000,1200,890
James Wilson,jameswilson,tiktok,https://www.tiktok.com/@jameswilson/video/7234567890124,2024-02-18,89000,6700,290,210
Lisa Anderson,lisaanderson,instagram,https://www.instagram.com/p/C3Def456GHI/,2024-02-22,67000,4100,220,0
David Martinez,davidmartinez,youtube,https://www.youtube.com/watch?v=9bZkp7q19f0,2024-02-17,780000,45000,2100,1500
Ashley Taylor,ashleytaylor,tiktok,https://www.tiktok.com/@ashleytaylor/video/7234567890125,2024-02-23,210000,15000,680,540
Chris Thompson,christhompson,instagram,https://www.instagram.com/p/C3Jkl789MNO/,2024-02-16,92000,5800,310,0
Jessica Garcia,jessicagarcia,youtube,https://www.youtube.com/watch?v=kJQP7kiw5Fk,2024-02-24,320000,21000,950,670
Ryan Moore,ryanmoore,tiktok,https://www.tiktok.com/@ryanmoore/video/7234567890126,2024-02-15,156000,11000,490,380
Samantha Lee,samanthalee,instagram,https://www.instagram.com/p/C3Pqr012STU/,2024-02-25,73000,4600,260,0
Brandon White,brandonwhite,youtube,https://www.youtube.com/watch?v=fJ9rUzIMcZQ,2024-02-14,890000,67000,3200,2100
Nicole Harris,nicoleharris,tiktok,https://www.tiktok.com/@nicoleharris/video/7234567890127,2024-02-26,98000,7200,340,250
Justin Clark,justinclark,instagram,https://www.instagram.com/p/C3Vwx345YZA/,2024-02-13,54000,3400,190,0
Amanda Lewis,amandalewis,youtube,https://www.youtube.com/watch?v=L_jWHffIx5E,2024-02-27,620000,42000,1800,1200
Kevin Robinson,kevinrobinson,tiktok,https://www.tiktok.com/@kevinrobinson/video/7234567890128,2024-02-12,178000,13000,570,430
Michelle Walker,michellewalker,instagram,https://www.instagram.com/p/C3Bcd678EFG/,2024-02-28,81000,5100,280,0
Tyler Hall,tylerhall,youtube,https://www.youtube.com/watch?v=tVj0ZTS4WF4,2024-02-11,410000,28000,1100,780
Rachel Allen,rachelallen,tiktok,https://www.tiktok.com/@rachelallen/video/7234567890129,2024-02-29,134000,9800,420,310
Jason Young,jasonyoung,instagram,https://www.instagram.com/p/C3Hij901KLM/,2024-02-10,69000,4400,240,0
